id,nom_categorie
1,Medical / PharMed
2,WASH (Eau-Hygiene-Assainissement)
3,NFI (Biens non-alimentaires)
4,Carburant / Energie
5,Pieces detachees vehicules
6,IT / Telecommunications
7,Materiaux de construction
8,Groupes electrogenes
9,Alimentaire / Nutrition
10,EPI (Equipement protection individuelle)
11,Mobilier / Bureau
12,Transport / Freight
13,Textile / Uniformes
14,Outillage / Equipement technique
15,Produits d'hygiene / Nettoyage
16,Fourniture de Bureau
17,Service d'Impression et Visibilite
18,Materiels Electronique et Electrique
