id,fournisseur_id,categorie_id,date_debut,date_fin,conditions,statut,taux_utilisation_pct
20da184d-a946-4f2e-a2b4-d310bc23438d,5b2aa3d2-e3a3-42dc-9fc0-5f8653da0fe2,1,2025-03-03,2027-02-21,50% avance / 50% a la livraison,actif,68
427822b9-59e4-49c9-98a1-15e7980c98b6,655629f7-7449-4a0d-990f-1bd61a038acb,2,2025-08-11,2026-02-07,Net 30 apres reception facture,expire,79.3
8851a9e8-a21a-49a8-a3c1-8feeee557af8,dd0cf926-595f-47d3-8c00-0881d67fe74a,3,2025-04-01,2026-03-27,Net 45,expire,22.3
af47a792-f6da-40e2-bab2-d632432a4543,d303459d-1799-496c-a354-9d20c21f8675,4,2025-03-24,2026-03-19,Paiement comptant a la livraison,expire,37.1
d5290d6d-c4c3-4e5c-96fc-bfcccd86a80c,b02505ad-c463-491f-a246-827bc3d233fa,4,2025-07-07,2026-07-02,Net 30,expire,12.1
c97b95f6-3009-49ff-bc64-05825d1ef71b,78d60221-f8f6-4ffe-9286-d1662f310103,4,2025-02-13,2025-08-12,Net 45,expire,52.1
cc33b238-0423-4ef0-a1d3-d87d66a27728,cca7c970-2310-4fa1-a036-1ada096e2484,5,2025-04-13,2026-04-08,Net 45,expire,18.1
73079705-cb3a-4f3e-8b3e-64f87794aa3e,a6c540a3-1186-4b1f-953d-5065e93d8e3f,6,2025-06-07,2025-12-04,Net 60,expire,61.3
96b68221-c5b0-4939-8ac5-9d9f783e1fee,5ec5f831-f069-4d2c-ae36-9e7bd23ff888,6,2025-07-19,2027-07-09,Net 30,actif,52.1
428c97b8-3ee0-419e-896e-60cf87f1c9ed,d303459d-1799-496c-a354-9d20c21f8675,6,2025-04-04,2027-03-25,Paiement comptant a la livraison,actif,28.2
4fcda50e-591b-4805-a686-7da8cefdb57e,1e099a0a-dd20-4ad3-a12d-1a26dc51ee09,7,2025-07-29,2026-07-24,50% avance / 50% a la livraison,expire,79.7
27d49920-97eb-4ac4-bf84-d3623cf93421,ff5755d9-ecd6-4fce-b5f5-20112cbcf341,7,2025-03-14,2027-03-04,Net 45,actif,90.8
c06a7a31-0541-4c9a-a4a8-0c09e0e09345,8a012e96-4687-4bec-9a48-8c2b0ea1fc15,8,2025-03-12,2025-09-08,30% avance / 70% a 30 jours,expire,75.9
864412b6-90b6-4593-b211-6fb8945a74a7,029ef2d7-b2d9-484e-8221-0fcf90c2eea8,9,2025-05-26,2026-05-21,Net 60,expire,85.7
419bb0ee-3322-4322-a4a1-401db1e0a30e,47f5e673-0ff7-4bb8-8701-e7e6c292076e,9,2025-03-18,2027-03-08,30% avance / 70% a 30 jours,actif,81.9
0da30c6a-694b-47b2-b267-65e1b0c473a2,bb1331e5-7678-4ece-b702-0fb01e46be4f,9,2025-02-27,2026-02-22,Net 60,expire,54.1
d4166dbe-aee6-473c-ae4b-2fcba5b9287c,cca7c970-2310-4fa1-a036-1ada096e2484,10,2025-07-20,2026-01-16,Net 45,expire,91.4
f7f86e2e-f206-4952-8c01-d862635203da,3bcc0758-fd08-47fc-a143-4e6ee0ecf752,11,2025-04-29,2027-04-19,30% avance / 70% a 30 jours,actif,68.8
ccb04673-b93d-4ec8-82d5-455635b57bd9,c9dcce2f-3bee-4a3e-8e93-abf97be12212,11,2025-04-09,2027-03-30,Net 45,actif,20
1175a418-3c61-4430-a91c-be463db60231,63d20255-2f55-44de-b794-33c22c53d4bf,12,2025-07-11,2027-07-01,Net 60,actif,10.4
b61cb374-6b6b-4248-9d94-babb742563f8,d481bc52-8eec-49bb-b661-3445c0841280,13,2025-05-13,2026-05-08,50% avance / 50% a la livraison,expire,37.7
44a8f4e0-75ca-43bd-8a2a-b94da3b214fa,1c35f57b-cb54-4453-858d-1907c7404913,14,2025-06-07,2027-05-28,Paiement comptant a la livraison,actif,43.1
cebd7822-a748-4ddc-8ca4-237f35fa61c2,593fa40b-f51a-4095-82e1-a72af438c7aa,14,2025-06-27,2026-06-22,Net 60,expire,18.7
1cbbf457-e4d8-46de-9ef2-1c6f9fce8259,3bcc0758-fd08-47fc-a143-4e6ee0ecf752,14,2025-05-08,2025-11-04,30% avance / 70% a 30 jours,expire,65.4
1783b670-a96a-42f1-9ae4-56b6a8b94fde,bb1331e5-7678-4ece-b702-0fb01e46be4f,15,2025-07-29,2026-01-25,Net 60,expire,17.8
