fournisseur_id,categorie_id
0e0a982e-e2d6-401b-b86c-9af6ccb63233,13
0e0a982e-e2d6-401b-b86c-9af6ccb63233,9
0e0a982e-e2d6-401b-b86c-9af6ccb63233,6
ed28973f-e804-4763-b307-19c9456d41e0,2
5be21ce5-62b1-4728-8aa7-c1137266ce68,14
5be21ce5-62b1-4728-8aa7-c1137266ce68,11
5be21ce5-62b1-4728-8aa7-c1137266ce68,7
cf511785-f907-4baa-9600-cc29a8d369e7,8
cf511785-f907-4baa-9600-cc29a8d369e7,14
cf511785-f907-4baa-9600-cc29a8d369e7,4
cf511785-f907-4baa-9600-cc29a8d369e7,7
845a7e7a-2509-41fe-80b2-7d1da505955b,9
845a7e7a-2509-41fe-80b2-7d1da505955b,11
845a7e7a-2509-41fe-80b2-7d1da505955b,7
ea9c09fd-b9a0-475d-bc81-a35547b24556,10
ea9c09fd-b9a0-475d-bc81-a35547b24556,9
ea9c09fd-b9a0-475d-bc81-a35547b24556,4
991dc4b6-08b9-42e3-a9a2-4413e46e5e26,11
f277c2c1-bc3c-47b9-a164-dba979311684,6
f277c2c1-bc3c-47b9-a164-dba979311684,14
f277c2c1-bc3c-47b9-a164-dba979311684,13
f277c2c1-bc3c-47b9-a164-dba979311684,8
312ae8a1-1e93-47d8-84fe-7dd909b0e00d,15
312ae8a1-1e93-47d8-84fe-7dd909b0e00d,9
312ae8a1-1e93-47d8-84fe-7dd909b0e00d,13
5b5cb032-bcb4-4e20-9df6-1e0e66b4f0d6,3
5b5cb032-bcb4-4e20-9df6-1e0e66b4f0d6,15
5b5cb032-bcb4-4e20-9df6-1e0e66b4f0d6,13
5b91061a-7430-4127-a4d5-a578817c0d7c,13
5b91061a-7430-4127-a4d5-a578817c0d7c,7
5b91061a-7430-4127-a4d5-a578817c0d7c,8
a7f6214b-f04a-4da5-8ca0-520e1ea9e472,11
a7f6214b-f04a-4da5-8ca0-520e1ea9e472,6
a7f6214b-f04a-4da5-8ca0-520e1ea9e472,12
a7f6214b-f04a-4da5-8ca0-520e1ea9e472,13
a17e5271-820e-4c6e-92b4-4bd109c60d27,7
ddb507c6-7c41-4027-bf46-dee06e458cb7,3
ddb507c6-7c41-4027-bf46-dee06e458cb7,2
ddb507c6-7c41-4027-bf46-dee06e458cb7,4
ddb507c6-7c41-4027-bf46-dee06e458cb7,13
cc141381-86f5-4777-a10f-87941999b04d,8
cc141381-86f5-4777-a10f-87941999b04d,4
93dcbfe8-ed77-4ec4-935f-f1a2240ba7c4,8
309121c4-a374-43b3-92e5-a2a321816170,4
309121c4-a374-43b3-92e5-a2a321816170,1
309121c4-a374-43b3-92e5-a2a321816170,15
6ddb19c1-837f-43af-91b7-6335e905a1a2,1
6ddb19c1-837f-43af-91b7-6335e905a1a2,11
6ddb19c1-837f-43af-91b7-6335e905a1a2,10
6ddb19c1-837f-43af-91b7-6335e905a1a2,9
94a69aa3-865f-4c60-b54b-595ed610efe7,1
94a69aa3-865f-4c60-b54b-595ed610efe7,15
94a69aa3-865f-4c60-b54b-595ed610efe7,14
94a69aa3-865f-4c60-b54b-595ed610efe7,3
e9e5c7af-5072-48f7-a4fc-11c95b71994c,4
e9e5c7af-5072-48f7-a4fc-11c95b71994c,10
e9e5c7af-5072-48f7-a4fc-11c95b71994c,7
e9e5c7af-5072-48f7-a4fc-11c95b71994c,12
b333e8aa-ad18-4abf-9c53-9ace926a283b,12
ba868ffb-5487-446d-8121-e1cdb4146a15,1
ba868ffb-5487-446d-8121-e1cdb4146a15,5
ba868ffb-5487-446d-8121-e1cdb4146a15,14
ba868ffb-5487-446d-8121-e1cdb4146a15,11
a8752895-2aeb-4978-9f7b-cef9caecf1e6,2
a8752895-2aeb-4978-9f7b-cef9caecf1e6,11
a8752895-2aeb-4978-9f7b-cef9caecf1e6,7
98390bdc-1e93-4618-8e29-ce8ed6a4aed8,5
f303955c-611e-4ac0-8927-9872c330f511,2
424fdf4e-e069-4526-83a1-c89d0185cdd4,7
424fdf4e-e069-4526-83a1-c89d0185cdd4,10
424fdf4e-e069-4526-83a1-c89d0185cdd4,13
