section_id,categorie_id,priorite
9afefdbb-119c-4425-8535-6fec5127f4b6,8,3
9afefdbb-119c-4425-8535-6fec5127f4b6,3,1
9afefdbb-119c-4425-8535-6fec5127f4b6,9,3
9afefdbb-119c-4425-8535-6fec5127f4b6,5,1
9afefdbb-119c-4425-8535-6fec5127f4b6,11,3
233431b7-94e1-4972-835b-5ab9bc49f081,6,3
233431b7-94e1-4972-835b-5ab9bc49f081,8,1
233431b7-94e1-4972-835b-5ab9bc49f081,5,3
233431b7-94e1-4972-835b-5ab9bc49f081,3,1
233431b7-94e1-4972-835b-5ab9bc49f081,4,2
233431b7-94e1-4972-835b-5ab9bc49f081,15,2
ae000a4f-dbc2-4247-b4b4-3635d5f0ab1c,7,1
ae000a4f-dbc2-4247-b4b4-3635d5f0ab1c,13,2
ae000a4f-dbc2-4247-b4b4-3635d5f0ab1c,12,1
ae000a4f-dbc2-4247-b4b4-3635d5f0ab1c,1,2
ae000a4f-dbc2-4247-b4b4-3635d5f0ab1c,2,1
ae000a4f-dbc2-4247-b4b4-3635d5f0ab1c,10,3
47412352-fa9b-4881-bdd6-aa37fbcc2ce3,13,2
47412352-fa9b-4881-bdd6-aa37fbcc2ce3,5,3
47412352-fa9b-4881-bdd6-aa37fbcc2ce3,2,1
47412352-fa9b-4881-bdd6-aa37fbcc2ce3,4,3
47412352-fa9b-4881-bdd6-aa37fbcc2ce3,14,2
82563cbe-1a9f-4aeb-b31a-d18aac64d91f,11,1
82563cbe-1a9f-4aeb-b31a-d18aac64d91f,14,1
82563cbe-1a9f-4aeb-b31a-d18aac64d91f,1,2
82563cbe-1a9f-4aeb-b31a-d18aac64d91f,7,2
82563cbe-1a9f-4aeb-b31a-d18aac64d91f,6,3
82563cbe-1a9f-4aeb-b31a-d18aac64d91f,5,2
82563cbe-1a9f-4aeb-b31a-d18aac64d91f,13,2
20036399-853f-4275-81f5-a1af194fd3fd,10,2
20036399-853f-4275-81f5-a1af194fd3fd,12,1
20036399-853f-4275-81f5-a1af194fd3fd,5,1
20036399-853f-4275-81f5-a1af194fd3fd,3,1
20036399-853f-4275-81f5-a1af194fd3fd,15,3
20036399-853f-4275-81f5-a1af194fd3fd,2,3
20036399-853f-4275-81f5-a1af194fd3fd,1,1
